loan_id,date_key,grade_key,purpose_key,ownership_key,status_key,term_months,term_label,loan_amnt,int_rate,installment,emp_length,emp_length_num,annual_inc,annual_inc_capped,annual_inc_flagged,dti,dti_band,out_prncp,total_pymnt,total_rec_prncp,total_rec_int,recoveries,collection_recovery_fee,delinq_2yrs,revol_util,total_acc,loan_to_income_pct,repayment_progress_pct,income_band,loan_size_band
100015,20241101,8,1,2,2,36,36 months,26700,27.92,1103.25,< 1 year,0,107100,107100,0,17.41,Medium (10–20),14693.37,15415.43,13103.12,2312.31,0.0,0.0,0,20.3,27,24.93,49.08,Over 100K,Very Large (20K+)
100016,20240901,7,7,1,2,60,60 months,32700,9.64,689.0,2 years,2,61300,61300,0,33.59,Very High (30+),16050.29,20619.63,17526.69,3092.94,0.0,0.0,2,51.0,38,53.34,53.6,50–75K,Very Large (20K+)
100017,20240801,21,3,3,2,60,60 months,4300,29.51,137.83,1 year,1,37900,37900,0,34.04,Very High (30+),2207.19,2192.81,1863.89,328.92,0.0,0.0,3,8.5,17,11.35,43.35,30–50K,Small (<5K)
100018,20260401,9,3,1,2,60,60 months,12800,24.44,371.51,10+ years,10,74600,74600,0,5.07,Low (0–10),9881.08,4792.56,4073.68,718.88,0.0,0.0,0,34.1,19,17.16,31.83,50–75K,Large (10–20K)
100019,20241001,8,3,3,2,36,36 months,16500,13.02,556.11,3 years,3,36000,36000,0,8.64,Low (0–10),14765.67,2829.15,2404.78,424.37,0.0,0.0,0,13.4,27,45.83,14.57,30–50K,Large (10–20K)
100020,20240901,20,3,3,1,36,36 months,23100,26.73,939.72,5 years,5,139900,139900,0,17.11,Medium (10–20),9771.33,13469.8,11449.33,2020.47,2925.65,526.62,1,13.8,23,16.51,49.56,Over 100K,Very Large (20K+)
100021,20250901,11,4,3,2,36,36 months,17300,17.77,623.44,10+ years,10,90500,90500,0,24.17,High (20–30),10847.77,8674.82,7373.6,1301.22,0.0,0.0,0,19.7,26,19.12,42.62,75–100K,Large (10–20K)
100022,20260201,27,3,1,2,60,60 months,2900,27.5,89.42,2 years,2,76400,76400,0,22.64,High (20–30),2416.5,766.9,651.87,115.03,0.0,0.0,0,29.7,14,3.8,22.48,75–100K,Small (<5K)
100023,20260501,2,3,1,2,60,60 months,3300,21.03,89.33,1 year,1,90500,90500,0,4.56,Low (0–10),2054.0,1588.98,1350.63,238.35,0.0,0.0,0,89.3,38,3.65,40.93,75–100K,Small (<5K)
100024,20260201,15,3,3,2,60,60 months,11300,18.32,288.92,10+ years,10,126500,126500,0,28.34,High (20–30),8383.46,4170.69,3545.09,625.6,0.0,0.0,0,39.0,22,8.93,31.37,Over 100K,Large (10–20K)
100025,20250501,25,5,3,2,36,36 months,31600,13.18,1067.47,3 years,3,117600,117600,0,36.51,Very High (30+),19390.98,14545.96,12364.07,2181.89,0.0,0.0,0,13.3,14,26.87,39.13,Over 100K,Very Large (20K+)
100026,20250801,8,2,2,2,36,36 months,9000,24.91,357.41,2 years,2,45300,45300,0,21.78,High (20–30),3536.5,6491.54,5517.81,973.73,0.0,0.0,0,14.1,9,19.87,61.31,30–50K,Medium (5–10K)
100027,20260601,12,3,2,2,36,36 months,15100,24.54,596.71,5 years,5,59700,59700,0,4.93,Low (0–10),6853.07,10302.86,8757.43,1545.43,0.0,0.0,0,36.5,33,25.29,58.0,50–75K,Large (10–20K)
100028,20251101,14,2,1,2,36,36 months,20400,14.47,701.89,3 years,3,44800,44800,0,11.13,Medium (10–20),14728.53,7954.37,6761.21,1193.16,0.0,0.0,0,91.6,27,45.54,33.14,30–50K,Very Large (20K+)
100029,20250801,25,3,3,2,60,60 months,33800,33.51,1167.52,5 years,5,28300,28300,0,22.02,High (20–30),15698.19,21627.54,18383.41,3244.13,0.0,0.0,0,20.0,16,119.43,54.39,Under 30K,Very Large (20K+)
100030,20241001,6,3,3,2,60,60 months,22700,15.95,551.42,3 years,3,69300,69300,0,36.51,Very High (30+),9585.73,14693.16,12489.19,2203.97,0.0,0.0,0,57.5,30,32.76,55.02,50–75K,Very Large (20K+)
100031,20250601,9,2,1,2,60,60 months,34500,8.21,703.01,5 years,5,65100,65100,0,12.07,Medium (10–20),28795.4,10619.81,9026.84,1592.97,0.0,0.0,0,60.2,4,53.0,26.16,50–75K,Very Large (20K+)
100032,20240901,2,3,1,2,36,36 months,20200,6.58,619.85,10+ years,10,96000,96000,0,37.54,Very High (30+),13532.04,6860.4,5831.34,1029.06,0.0,0.0,0,17.0,23,21.04,28.87,75–100K,Very Large (20K+)
100033,20250901,4,2,1,2,36,36 months,28800,22.5,1107.35,1 year,1,49600,49600,0,34.87,Very High (30+),13153.11,16532.69,14052.79,2479.9,0.0,0.0,0,29.7,6,58.06,48.79,30–50K,Very Large (20K+)
100034,20260601,6,7,1,2,60,60 months,27000,15.38,647.73,3 years,3,68400,68400,0,20.73,High (20–30),17944.46,12605.99,10715.09,1890.9,0.0,0.0,0,17.1,25,39.47,39.69,50–75K,Very Large (20K+)
100035,20250101,20,3,3,2,36,36 months,23100,15.19,802.92,1 year,1,44400,44400,0,6.91,Low (0–10),13498.69,12734.22,10824.09,1910.13,0.0,0.0,0,51.3,26,52.03,46.86,30–50K,Very Large (20K+)
100036,20241001,27,3,3,2,36,36 months,30500,31.02,1311.87,7 years,7,97200,97200,0,29.68,High (20–30),13296.02,19855.88,16877.5,2978.38,0.0,0.0,1,46.4,18,31.38,55.34,75–100K,Very Large (20K+)
100037,20241201,4,2,2,1,60,60 months,8000,15.06,190.57,5 years,5,56500,56500,0,33.48,Very High (30+),4314.36,3898.05,3313.34,584.71,133.94,24.11,0,46.5,28,14.16,41.42,50–75K,Medium (5–10K)
100038,20250201,26,2,3,2,36,36 months,18600,20.57,696.66,5 years,5,58900,58900,0,26.76,High (20–30),15326.97,5360.67,4556.57,804.1,0.0,0.0,0,23.8,24,31.58,24.5,50–75K,Large (10–20K)
100039,20250401,9,3,3,2,60,60 months,14200,23.35,403.17,2 years,2,41800,41800,0,4.24,Low (0–10),11178.96,3085.95,2623.06,462.89,0.0,0.0,1,40.7,27,33.97,18.47,30–50K,Large (10–20K)
100040,20260401,19,3,1,2,36,36 months,2700,29.0,113.15,1 year,1,61700,61700,0,10.4,Medium (10–20),1651.67,1284.93,1092.19,192.74,0.0,0.0,1,57.8,21,4.38,40.45,50–75K,Small (<5K)
100041,20260601,10,2,3,2,60,60 months,14000,20.87,377.72,< 1 year,0,42200,42200,0,10.8,Medium (10–20),6250.53,8516.72,7239.21,1277.51,0.0,0.0,0,81.6,32,33.18,51.71,30–50K,Large (10–20K)
100042,20240701,1,3,2,2,36,36 months,4600,6.4,140.78,7 years,7,64200,64200,0,35.03,Very High (30+),3834.38,1261.36,1072.16,189.2,0.0,0.0,0,47.9,7,7.17,23.31,50–75K,Small (<5K)
100043,20260201,9,7,1,2,36,36 months,16000,23.7,625.21,7 years,7,86100,86100,0,21.07,High (20–30),14492.95,2276.59,1935.1,341.49,0.0,0.0,0,38.2,12,18.58,12.09,75–100K,Large (10–20K)
100044,20250701,12,3,2,2,36,36 months,34700,24.06,1362.47,3 years,3,155700,149500,1,30.59,Very High (30+),31452.42,8405.37,7144.56,1260.81,0.0,0.0,0,39.1,3,22.29,20.59,Over 100K,Very Large (20K+)
100045,20260201,19,5,1,2,60,60 months,29800,28.71,940.65,5 years,5,47000,47000,0,29.02,High (20–30),21215.9,12642.26,10745.92,1896.34,0.0,0.0,0,57.9,20,63.4,36.06,30–50K,Very Large (20K+)
100046,20251201,23,3,1,4,36,36 months,22600,28.45,940.32,2 years,2,31800,31800,0,34.38,Very High (30+),16001.03,7734.3,6574.15,1160.15,0.0,0.0,0,76.5,31,71.07,29.09,30–50K,Very Large (20K+)
100047,20240901,13,7,3,2,60,60 months,28000,25.55,830.89,3 years,3,60300,60300,0,27.45,High (20–30),17390.46,13779.01,11712.16,2066.85,0.0,0.0,0,53.3,38,46.43,41.83,50–75K,Very Large (20K+)
100048,20260301,14,3,1,2,36,36 months,15100,20.88,567.96,3 years,3,21400,21400,0,29.79,High (20–30),10409.47,6563.23,5578.75,984.48,0.0,0.0,1,25.5,25,70.56,36.95,Under 30K,Large (10–20K)
100049,20250701,13,3,1,2,36,36 months,7100,12.06,236.03,2 years,2,51300,51300,0,5.63,Low (0–10),6370.03,1571.41,1335.7,235.71,0.0,0.0,0,63.6,30,13.84,18.81,50–75K,Medium (5–10K)
100050,20240901,6,3,1,2,36,36 months,16000,9.79,514.7,< 1 year,0,52500,52500,0,7.96,Low (0–10),10949.26,6008.35,5107.1,901.25,0.0,0.0,0,35.2,28,30.48,31.92,50–75K,Large (10–20K)
100051,20250701,9,2,2,2,36,36 months,19700,27.81,812.84,2 years,2,49600,49600,0,18.77,Medium (10–20),9088.54,12318.36,10470.61,1847.75,0.0,0.0,0,8.0,35,39.72,53.15,30–50K,Large (10–20K)
100052,20251101,8,2,2,2,60,60 months,22900,12.18,511.48,10+ years,10,71600,71600,0,18.52,Medium (10–20),15732.31,7398.1,6288.39,1109.71,0.0,0.0,0,23.9,21,31.98,27.46,50–75K,Very Large (20K+)
100053,20250101,10,3,1,2,36,36 months,22600,17.89,815.8,10+ years,10,60200,60200,0,22.33,High (20–30),13254.8,10703.79,9098.22,1605.57,0.0,0.0,0,19.0,3,37.54,40.26,50–75K,Very Large (20K+)
100054,20240801,8,5,2,2,60,60 months,14300,27.24,438.71,< 1 year,0,105400,105400,0,37.24,Very High (30+),6112.87,9271.44,7880.72,1390.72,0.0,0.0,1,56.2,35,13.57,55.11,Over 100K,Large (10–20K)
100055,20240901,12,5,3,2,60,60 months,28600,24.89,837.6,5 years,5,62900,62900,0,32.81,Very High (30+),14029.62,18415.66,15653.31,2762.35,0.0,0.0,0,12.7,25,45.47,54.73,50–75K,Very Large (20K+)
100056,20260201,25,2,3,2,36,36 months,30900,21.27,1168.45,5 years,5,36400,36400,0,15.67,Medium (10–20),20357.87,12563.58,10679.04,1884.54,0.0,0.0,0,90.4,24,84.89,34.56,30–50K,Very Large (20K+)
100057,20250501,21,3,1,2,60,60 months,30700,33.68,1063.74,< 1 year,0,43200,43200,0,18.96,Medium (10–20),23155.47,9398.27,7988.53,1409.74,0.0,0.0,0,63.1,6,71.06,26.02,30–50K,Very Large (20K+)
100058,20260101,5,2,3,2,36,36 months,7700,21.03,290.22,5 years,5,62800,62800,0,31.34,Very High (30+),3343.14,4369.56,3714.13,655.43,0.0,0.0,0,86.0,8,12.26,48.24,50–75K,Medium (5–10K)
100059,20250501,17,5,3,1,36,36 months,21800,21.37,825.46,7 years,7,101200,101200,0,22.64,High (20–30),16764.57,5306.18,4510.25,795.93,3539.06,637.03,0,40.0,13,21.54,20.69,Over 100K,Very Large (20K+)
100060,20250401,6,7,3,2,60,60 months,25800,19.96,682.97,3 years,3,137700,137700,0,35.73,Very High (30+),17719.46,8279.56,7037.63,1241.93,0.0,0.0,0,58.7,36,18.74,27.28,Over 100K,Very Large (20K+)
100061,20251201,17,7,1,1,36,36 months,5500,18.23,199.47,< 1 year,0,53000,53000,0,16.86,Medium (10–20),2206.43,4091.92,3478.13,613.79,4.06,0.73,0,33.3,19,10.38,63.24,50–75K,Medium (5–10K)
100062,20250101,26,7,1,2,60,60 months,8100,34.58,285.3,< 1 year,0,79000,79000,0,29.33,High (20–30),3594.67,5705.35,4849.55,855.8,0.0,0.0,1,68.5,9,10.25,59.87,75–100K,Medium (5–10K)
100063,20240801,32,7,3,2,60,60 months,20700,21.88,570.3,1 year,1,100200,100200,0,6.34,Low (0–10),16234.84,4635.57,3940.23,695.34,0.0,0.0,1,63.0,16,20.66,19.03,Over 100K,Very Large (20K+)
100064,20260301,13,3,3,2,36,36 months,20500,10.69,668.14,< 1 year,0,39500,39500,0,28.09,High (20–30),10397.38,12027.24,10223.15,1804.09,0.0,0.0,1,26.0,37,51.9,49.87,30–50K,Very Large (20K+)
100065,20250201,23,3,3,2,36,36 months,30900,20.45,1155.45,5 years,5,99800,99800,0,35.57,Very High (30+),18908.3,14900.19,12665.16,2235.03,0.0,0.0,3,42.9,7,30.96,40.99,75–100K,Very Large (20K+)
100066,20251001,16,3,2,2,60,60 months,5600,17.03,139.26,10+ years,10,71800,71800,0,23.21,High (20–30),3105.53,2599.0,2209.15,389.85,0.0,0.0,2,58.0,26,7.8,39.45,50–75K,Medium (5–10K)
100067,20241201,15,1,1,2,36,36 months,34600,30.81,1484.22,5 years,5,80600,80600,0,10.34,Medium (10–20),15567.76,19948.42,16956.16,2992.26,0.0,0.0,0,21.8,5,42.93,49.01,75–100K,Very Large (20K+)
100068,20250201,25,3,1,2,36,36 months,3900,16.76,138.58,1 year,1,162900,149500,1,20.9,High (20–30),3238.14,793.16,674.19,118.97,0.0,0.0,0,53.3,11,2.39,17.29,Over 100K,Small (<5K)
100069,20250701,30,2,3,1,36,36 months,5000,22.11,191.24,1 year,1,72200,72200,0,11.83,Medium (10–20),4328.97,1222.44,1039.07,183.37,426.35,76.74,0,5.5,7,6.93,20.78,50–75K,Small (<5K)
100070,20250601,2,4,1,2,60,60 months,4700,8.41,96.22,5 years,5,86100,86100,0,22.57,High (20–30),3002.45,2309.6,1963.16,346.44,0.0,0.0,0,19.2,15,5.46,41.77,75–100K,Small (<5K)
100071,20241201,21,3,2,2,60,60 months,32700,25.61,971.52,1 year,1,60700,60700,0,29.1,High (20–30),9919.36,26802.48,22782.11,4020.37,0.0,0.0,0,86.8,20,53.87,69.67,50–75K,Very Large (20K+)
100072,20260401,25,3,3,2,36,36 months,18700,16.25,659.75,5 years,5,54200,54200,0,22.15,High (20–30),9054.03,9697.66,8243.01,1454.65,0.0,0.0,0,80.6,30,34.5,44.08,50–75K,Large (10–20K)
100073,20240901,20,1,3,2,60,60 months,5400,14.32,126.55,3 years,3,47200,47200,0,29.75,High (20–30),3282.24,2164.68,1839.98,324.7,0.0,0.0,0,81.7,16,11.44,34.07,30–50K,Medium (5–10K)
100074,20260301,35,2,3,2,36,36 months,16700,17.86,602.57,5 years,5,112000,112000,0,26.6,High (20–30),9909.81,7200.07,6120.06,1080.01,0.0,0.0,2,12.4,16,14.91,36.65,Over 100K,Large (10–20K)
100075,20241101,8,7,2,2,36,36 months,11000,28.69,459.11,5 years,5,58300,58300,0,3.13,Low (0–10),5260.64,7362.92,6258.48,1104.44,0.0,0.0,0,85.5,17,18.87,56.9,50–75K,Large (10–20K)
100076,20241001,18,3,3,2,36,36 months,3000,26.23,121.24,5 years,5,37600,37600,0,21.56,High (20–30),1784.7,1453.96,1235.87,218.09,0.0,0.0,0,76.7,26,7.98,41.2,30–50K,Small (<5K)
100077,20251001,28,3,1,2,36,36 months,8100,24.09,318.17,3 years,3,167000,149500,1,6.22,Low (0–10),5018.25,3159.76,2685.8,473.96,0.0,0.0,1,76.8,13,4.85,33.16,Over 100K,Medium (5–10K)
100078,20260101,31,4,1,2,60,60 months,2400,29.97,77.6,3 years,3,68300,68300,0,27.99,High (20–30),1849.89,819.81,696.84,122.97,0.0,0.0,0,14.3,34,3.51,29.04,50–75K,Small (<5K)
100079,20250601,4,3,1,2,60,60 months,25200,23.07,711.41,< 1 year,0,58200,58200,0,35.88,Very High (30+),21065.54,5486.95,4663.91,823.04,0.0,0.0,0,93.0,28,43.3,18.51,50–75K,Very Large (20K+)
100080,20251001,17,3,2,2,60,60 months,29100,14.18,679.82,10+ years,10,66800,66800,0,27.43,High (20–30),25204.38,7012.61,5960.72,1051.89,0.0,0.0,1,78.3,9,43.56,20.48,50–75K,Very Large (20K+)
100081,20250101,19,2,1,1,60,60 months,21700,20.45,580.36,2 years,2,43500,43500,0,25.17,High (20–30),10411.06,14126.6,12007.61,2118.99,798.79,143.78,1,21.4,34,49.89,55.33,30–50K,Very Large (20K+)
100082,20251201,12,3,3,2,36,36 months,2700,14.03,92.32,< 1 year,0,38100,38100,0,26.49,High (20–30),2333.82,660.68,561.58,99.1,0.0,0.0,1,36.1,22,7.09,20.8,30–50K,Small (<5K)
100083,20260501,12,3,1,2,60,60 months,30600,21.94,844.1,10+ years,10,75000,75000,0,3.06,Low (0–10),22208.14,12945.75,11003.89,1941.86,0.0,0.0,0,37.3,5,40.8,35.96,50–75K,Very Large (20K+)
100084,20260201,20,3,1,3,36,36 months,26200,27.57,1077.65,5 years,5,116200,116200,0,24.77,High (20–30),11755.85,16035.88,13630.5,2405.38,2439.59,439.13,0,64.6,8,22.55,52.02,Over 100K,Very Large (20K+)
100085,20250601,16,2,1,2,60,60 months,34000,29.38,1087.1,3 years,3,32300,32300,0,2.33,Low (0–10),15386.3,23120.62,19652.53,3468.09,0.0,0.0,0,34.8,31,105.26,57.8,30–50K,Very Large (20K+)
100086,20250201,6,3,1,2,60,60 months,16200,20.43,433.09,< 1 year,0,35600,35600,0,23.8,High (20–30),9560.26,8739.79,7428.82,1310.97,0.0,0.0,0,53.6,22,45.51,45.86,30–50K,Large (10–20K)
100087,20260201,7,3,1,2,36,36 months,6100,28.11,252.68,5 years,5,32700,32700,0,3.42,Low (0–10),4148.22,2581.49,2194.27,387.22,0.0,0.0,0,48.2,36,18.65,35.97,30–50K,Medium (5–10K)
100088,20250301,10,3,3,2,36,36 months,30600,13.09,1032.36,3 years,3,25600,25600,0,21.16,High (20–30),23757.36,7587.97,6449.77,1138.2,0.0,0.0,0,70.8,31,119.53,21.08,Under 30K,Very Large (20K+)
100089,20250101,15,1,1,2,36,36 months,33800,24.24,1330.33,1 year,1,67300,67300,0,32.17,Very High (30+),29229.84,7463.15,6343.68,1119.47,0.0,0.0,0,88.8,6,50.22,18.77,50–75K,Very Large (20K+)
100090,20260601,18,1,3,2,60,60 months,33000,19.17,859.13,< 1 year,0,44000,44000,0,25.68,High (20–30),28577.66,8295.15,7050.88,1244.27,0.0,0.0,0,71.5,6,75.0,21.37,30–50K,Very Large (20K+)
100091,20240701,19,3,2,2,60,60 months,24000,30.33,781.35,< 1 year,0,67400,67400,0,33.6,Very High (30+),17325.56,7856.61,6678.12,1178.49,0.0,0.0,1,55.7,21,35.61,27.83,50–75K,Very Large (20K+)
100092,20251101,6,2,3,2,60,60 months,21700,15.71,524.36,1 year,1,115500,115500,0,24.3,High (20–30),13268.86,8514.6,7237.41,1277.19,0.0,0.0,0,39.2,36,18.79,33.35,Over 100K,Very Large (20K+)
100093,20241001,14,7,2,2,36,36 months,17700,25.83,711.54,5 years,5,89700,89700,0,31.27,Very High (30+),5397.01,14022.04,11918.73,2103.31,0.0,0.0,1,88.4,17,19.73,67.34,75–100K,Large (10–20K)
100094,20260301,10,6,1,2,60,60 months,13600,11.16,296.78,1 year,1,72000,72000,0,26.12,High (20–30),7615.16,7977.36,6780.76,1196.6,0.0,0.0,1,16.1,12,18.89,49.86,50–75K,Large (10–20K)
100095,20240701,21,3,1,2,60,60 months,20700,32.19,697.83,3 years,3,153100,149500,1,17.28,Medium (10–20),7721.05,12986.97,11038.92,1948.05,0.0,0.0,1,58.4,28,13.52,53.33,Over 100K,Very Large (20K+)
100096,20260301,7,5,3,2,36,36 months,7800,25.98,314.18,2 years,2,53600,53600,0,10.53,Medium (10–20),5724.48,2187.3,1859.21,328.09,0.0,0.0,0,45.7,7,14.55,23.84,50–75K,Medium (5–10K)
100097,20251201,3,3,1,2,36,36 months,30700,10.77,1001.74,3 years,3,80900,80900,0,5.45,Low (0–10),13838.5,18661.62,15862.38,2799.24,0.0,0.0,0,49.7,4,37.95,51.67,75–100K,Very Large (20K+)
100098,20260101,10,3,3,2,60,60 months,24300,16.92,602.87,1 year,1,88500,88500,0,37.69,Very High (30+),11620.37,12969.11,11023.74,1945.37,0.0,0.0,0,85.5,5,27.46,45.37,75–100K,Very Large (20K+)
100099,20241001,11,5,1,2,36,36 months,9500,22.58,365.67,3 years,3,93100,93100,0,17.93,Medium (10–20),6510.61,3958.58,3364.79,593.79,0.0,0.0,0,46.1,24,10.2,35.42,75–100K,Medium (5–10K)
100100,20250401,19,3,2,2,36,36 months,23800,32.4,1041.89,5 years,5,27400,27400,0,22.9,High (20–30),15429.25,8715.88,7408.5,1307.38,0.0,0.0,0,73.1,19,86.86,31.13,Under 30K,Very Large (20K+)
100101,20260601,9,3,2,2,60,60 months,17700,12.66,399.66,3 years,3,46600,46600,0,16.38,Medium (10–20),11303.62,8052.0,6844.2,1207.8,0.0,0.0,0,73.0,35,37.98,38.67,30–50K,Large (10–20K)
100102,20251001,14,3,3,2,60,60 months,27800,10.39,596.02,< 1 year,0,53300,53300,0,14.3,Medium (10–20),23252.92,5713.44,4856.42,857.02,0.0,0.0,2,75.8,17,52.16,17.47,50–75K,Very Large (20K+)
100103,20250501,35,5,3,2,60,60 months,14900,35.47,533.3,1 year,1,50900,50900,0,6.19,Low (0–10),12121.44,3459.52,2940.59,518.93,0.0,0.0,0,41.3,4,29.27,19.74,50–75K,Large (10–20K)
100104,20250501,3,3,1,2,60,60 months,13400,18.61,344.73,< 1 year,0,62900,62900,0,19.26,Medium (10–20),11243.49,2794.75,2375.54,419.21,0.0,0.0,1,65.0,36,21.3,17.73,50–75K,Large (10–20K)
100105,20250501,2,1,3,2,36,36 months,18700,27.19,765.34,5 years,5,79500,79500,0,21.78,High (20–30),8986.08,12102.23,10286.9,1815.33,0.0,0.0,0,6.6,4,23.52,55.01,75–100K,Large (10–20K)
100106,20240801,18,3,1,2,36,36 months,14800,27.68,609.63,< 1 year,0,45500,45500,0,37.82,Very High (30+),5808.44,9261.03,7871.88,1389.15,0.0,0.0,0,14.1,18,32.53,53.19,30–50K,Large (10–20K)
100107,20260101,16,3,3,2,36,36 months,18800,15.54,656.69,3 years,3,58400,58400,0,10.38,Medium (10–20),7237.28,14062.94,11953.5,2109.44,0.0,0.0,0,22.5,9,32.19,63.58,50–75K,Large (10–20K)
100108,20240701,15,3,1,2,36,36 months,14800,9.24,472.29,1 year,1,47500,47500,0,2.69,Low (0–10),6510.24,8316.67,7069.17,1247.5,0.0,0.0,0,92.8,20,31.16,47.76,30–50K,Large (10–20K)
100109,20260301,4,5,3,2,36,36 months,14300,18.06,517.41,1 year,1,21200,21200,0,18.36,Medium (10–20),6553.13,9144.79,7773.07,1371.72,0.0,0.0,0,60.3,31,67.45,54.36,Under 30K,Large (10–20K)
100110,20250101,15,2,3,4,36,36 months,33600,30.02,1426.74,1 year,1,45800,45800,0,26.77,High (20–30),20158.67,16652.83,14154.91,2497.92,0.0,0.0,0,85.6,10,73.36,42.13,30–50K,Very Large (20K+)
100111,20251101,6,1,3,2,60,60 months,4200,26.91,128.02,5 years,5,90800,90800,0,5.8,Low (0–10),3215.56,1029.85,875.37,154.48,0.0,0.0,0,6.1,7,4.63,20.84,75–100K,Small (<5K)
100112,20240901,12,3,3,2,60,60 months,17200,16.69,424.6,7 years,7,78600,78600,0,8.67,Low (0–10),8123.22,9130.82,7761.2,1369.62,0.0,0.0,0,92.1,33,21.88,45.12,75–100K,Large (10–20K)
100113,20240801,21,4,1,4,36,36 months,34200,16.53,1211.34,< 1 year,0,95100,95100,0,6.37,Low (0–10),28015.42,7686.76,6533.75,1153.01,0.0,0.0,2,72.3,34,35.96,19.1,75–100K,Very Large (20K+)
100114,20240901,12,2,3,2,36,36 months,6200,11.44,204.27,1 year,1,43000,43000,0,15.54,Medium (10–20),5601.12,1227.54,1043.41,184.13,0.0,0.0,0,6.1,23,14.42,16.83,30–50K,Medium (5–10K)
100115,20251201,6,2,1,2,36,36 months,10500,13.05,354.04,7 years,7,64900,64900,0,29.18,High (20–30),3517.58,7486.51,6363.53,1122.98,0.0,0.0,1,53.6,15,16.18,60.61,50–75K,Large (10–20K)
100116,20260601,5,7,1,2,60,60 months,24600,23.99,707.55,5 years,5,60600,60600,0,32.27,Very High (30+),12137.8,14547.13,12365.06,2182.07,0.0,0.0,0,83.6,27,40.59,50.26,50–75K,Very Large (20K+)
